Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,vole_depths,depths
png_downsampled_xy185.png,448.8706293720001,261.06281671392713,361.5105745787622,-433.12582716158215,0.13376901543841768,5.676076831459909,-4.063371804871622,13.373334635176661,-391.0115416975886,360,302,185,230,268.12046376706843
png_downsampled_xy186.png,449.2263422383885,259.04265796669875,361.721600388534,-433.7696552047072,0.1563580599477632,5.029715524251515,-3.8312044262987683,13.371206876571307,-390.9544551687698,360,302,186,229,266.1077901006608
png_downsampled_xy187.png,449.30881695188384,257.2667661094155,362.0446758876241,-433.9636235711662,0.1813163192713887,4.3041082521140765,-3.613073619755937,13.380846854036065,-391.2412038757939,360,302,187,228,264.3430079250659
png_downsampled_xy188.png,449.6367324887226,256.07372930853893,362.04071054187267,-434.46618729705665,0.19153313775359493,4.016443964752,-3.392460059722225,13.401873137134032,-391.8609986227502,360,302,188,227,263.150083750499
png_downsampled_xy189.png,449.8694103986826,254.69041874043978,361.84430053745353,-435.0778079691188,0.19060282936291628,4.057190203921493,-3.6892148768235984,13.412044975710046,-392.151903484218,360,302,189,226,261.76023326039444
png_downsampled_xy190.png,449.92713854646735,253.44043965942197,361.6611626795655,-435.58554724556797,0.1834745838266656,4.276894708221164,-4.024832666059922,13.418557157743834,-392.3349218373612,360,302,190,225,260.50403565633576
png_downsampled_xy191.png,450.0356013511133,251.69458363462596,361.2751187312964,-435.57201485263533,0.17566331015041214,4.505034858333204,-4.554656543921169,13.404484236579862,-391.911632278366,360,302,191,224,258.7450613362089
png_downsampled_xy192.png,450.6591119841461,249.65702841284738,360.94583266616604,-436.1166513375857,0.1794361429679725,4.406755490228875,-5.080599189047007,13.384954377874664,-391.32884118486226,360,302,192,223,256.6967184678913
png_downsampled_xy193.png,451.00637824281273,247.45885466652703,360.94647934639295,-436.8980245548687,0.2015891237334415,3.7761916573002168,-5.280641137875705,13.371360533784468,-390.92686257901613,360,302,193,222,254.49882969921836
png_downsampled_xy194.png,450.99826360082864,246.27594996406074,360.8245548469073,-436.9602377711086,0.21429592697137423,3.405960010537001,-5.277209615036497,13.35717534674157,-390.51209452834405,360,302,194,221,253.31174976483328
png_downsampled_xy195.png,450.86496763717923,244.95246786687537,360.5573784136556,-436.66383226289133,0.22202241153820523,3.17343839045094,-5.433670336892419,13.345720097238,-390.17362361313303,360,302,195,220,251.97903093062027
png_downsampled_xy196.png,451.08563562935745,244.64143919269216,359.7776511276297,-436.53194937668036,0.2131112874133123,3.4311235966218874,-5.878360725002096,13.335838604368433,-389.8747964541209,360,302,196,219,251.64150727712854
png_downsampled_xy197.png,451.0206058277359,243.74205068381474,359.71120954643527,-436.5788822106416,0.22483710198622475,3.0892425767587497,-5.7004661649631885,13.350981240876195,-390.32157902165045,360,302,197,218,250.73979763843923
png_downsampled_xy198.png,450.8361246930941,242.20320541577732,359.79164235608255,-436.57820107750075,0.24606067705775558,2.4685467086037534,-5.445685607894347,13.347683728736229,-390.2307837870241,360,302,198,217,249.20356304798355
png_downsampled_xy199.png,450.88291113277796,240.9717083580342,359.3481080899935,-436.50483780130025,0.254479350351545,2.2207196164248444,-5.340852340756328,13.339183007171926,-389.98450195288706,360,302,199,216,247.95693518322426
png_downsampled_xy200.png,450.83210382395464,240.3106334065355,358.6338669495427,-436.3147784414195,0.2437773562110408,2.481331714271164,-5.334834514638942,13.327254549169027,-389.6377029184597,360,302,200,215,247.27053472828163
png_downsampled_xy201.png,450.7106813760812,239.20373996279562,358.61563953363986,-436.08211776497683,0.25536621529880676,2.137291069403773,-5.167829351019918,13.316126849206881,-389.31595220343024,360,302,201,214,246.1629265648037
png_downsampled_xy202.png,450.5910964307664,238.08121353827187,358.9459464690412,-436.12748885257895,0.2678885177144821,1.7720760286664472,-4.684291580218485,13.329541670097058,-389.718919054254,360,302,202,213,245.05160455658623
png_downsampled_xy203.png,450.5475984148096,237.77197374369612,358.9838906326684,-436.22291488936173,0.2645797929673108,1.8709415236122027,-4.737201649467465,13.336888397684874,-389.93260847443094,360,302,203,212,244.74362945947894
png_downsampled_xy204.png,450.3494657751272,237.29081782374953,358.9836883887725,-436.04574527178545,0.2633180764485701,1.903937927321408,-4.642520162671303,13.35059192568849,-390.33545331830373,360,302,204,211,244.26231739450498
png_downsampled_xy205.png,450.05021226661563,236.3064261078958,359.11128342069804,-435.97992305581874,0.2622131780932193,1.9348008204953544,-4.510654320815888,13.365403307784419,-390.7715163758263,360,302,205,210,243.28206326008953
png_downsampled_xy206.png,449.94279655442625,234.67352855428652,358.98793568265336,-435.9696875962111,0.2677454560730723,1.7727840508313761,-4.309373282791967,13.357120230759193,-390.5337115695865,360,302,206,209,241.64486706180728
png_downsampled_xy207.png,449.8999842397362,232.9375776825247,358.64318741983914,-435.8405252303121,0.2754014056414178,1.5460409795683177,-4.042222158752793,13.333691923040874,-389.8544357904549,360,302,207,208,239.89709565366732
png_downsampled_xy208.png,449.99042180119284,231.3784361540298,358.6914939119257,-436.0990099487617,0.2897992293671052,1.1306705652174855,-3.7113129665652878,13.333157182590583,-389.84608617285755,360,302,208,207,238.33967402860102
png_downsampled_xy209.png,450.12708442098483,229.87416536903655,358.69326399067654,-436.06409948144415,0.3036340259269821,0.7253033210820377,-3.369862280068901,13.345854989002703,-390.2249542382599,360,302,209,206,236.83556670086412
png_downsampled_xy210.png,450.09416658552504,228.3806442795862,358.5943462102323,-436.0487574272954,0.31042607396685185,0.5263321068604796,-3.0849738917564764,13.35573729995832,-390.52023732891354,360,302,210,205,235.33863843248577
png_downsampled_xy211.png,450.2339239123434,227.69814835595474,358.39380774520555,-436.14136749753015,0.30641258191639054,0.6457464767653391,-3.1862352828664484,13.36186059547245,-390.6970824878207,360,302,211,204,234.64939057719155
png_downsampled_xy212.png,449.8587016815863,228.3108447691253,357.70779916783874,-435.48815689412316,0.2872136861877266,1.1928295848847483,-3.736758331390149,13.34745034018809,-390.2635287167078,360,302,212,203,235.23834706500458
png_downsampled_xy213.png,449.7889244197006,228.28389751511645,357.35865554143476,-435.37383535048195,0.26840812107869283,1.7402797374227816,-3.8198813887410097,13.365590530247829,-390.79220717069387,360,302,213,202,235.19940867087317
png_downsampled_xy214.png,449.62160897256877,227.6038663212001,357.40503798838427,-435.3182101750307,0.262940156436116,1.8989649931703525,-3.5051698428382565,13.387655160763302,-391.4444187851488,360,302,214,201,234.52083745567933
png_downsampled_xy215.png,449.6934886026137,226.5147721099537,357.11052968639865,-435.1983090350616,0.2522007606710872,2.210397329205648,-3.5778488393091266,13.407896563683465,-392.0347772033425,360,302,215,200,233.42172699280346
png_downsampled_xy216.png,449.6729693228547,224.8403293008846,356.99724204212697,-435.6333595715031,0.2543078761864024,2.158357545762783,-3.4517214180793303,13.42614644612479,-392.5712727157787,360,302,216,199,231.743394981669
png_downsampled_xy217.png,449.53017849245254,223.37765357175257,356.8079324200221,-435.63991934397615,0.24598141036057086,2.4020093038299137,-3.6797600444220393,13.44700588222139,-393.176283432645,360,302,217,198,230.27413846897574
png_downsampled_xy218.png,449.5797178444991,222.09624636489366,356.78459347940077,-436.0159347649966,0.24278891836746652,2.503656025969235,-3.9387279974836247,13.461137406598425,-393.58385527480795,360,302,218,197,228.9919705242235
png_downsampled_xy219.png,449.48971940263624,220.96778785896652,356.9718426055789,-435.9322050715785,0.2326557034953396,2.7981573288915342,-4.067996590308496,13.48614083617366,-394.3122325553041,360,302,219,196,227.86984701277888
png_downsampled_xy220.png,449.3387446040092,219.93346910173366,356.86386237807926,-435.8082873422554,0.23361917734698068,2.7672510645071497,-3.94206043947338,13.506247814973904,-394.90303458932317,360,302,220,195,226.8317222782487
png_downsampled_xy221.png,449.22951944423045,219.17818463787523,356.8335969814955,-435.8121184691338,0.25332050483916646,2.1911706381514477,-3.3606497492995686,13.519095975033025,-395.29158528041904,360,302,221,194,226.07532065580511
png_downsampled_xy222.png,448.58721858924173,218.87453703573692,356.8071918918763,-435.4506443134885,0.26836946786016824,1.7431020053787165,-2.469276470214595,13.513570471445519,-395.14962612365196,360,302,222,193,225.77028639187984
png_downsampled_xy223.png,448.3089655057769,217.54278988782303,356.692259404594,-435.6308046876385,0.2895546316490254,1.1275107731656817,-1.8920946918453865,13.492711096792988,-394.5523076919709,360,302,223,192,224.43439967777852
png_downsampled_xy224.png,447.98435126580154,216.88130884646975,356.2182931711277,-435.52229924843994,0.3126957704940594,0.448358751941214,-1.6355452418846994,13.438676858649444,-392.9777287547058,360,302,224,191,223.75646738473597
png_downsampled_xy225.png,447.83839052105156,215.9159025556159,356.14134306681217,-435.7481967902839,0.3301313942193076,-0.10403019742284414,-1.564923492201956,13.407715481420325,-392.08156679973,360,302,225,190,222.78737162025644
png_downsampled_xy226.png,447.71150356503165,214.4603846097115,355.9062151685262,-435.61832629258447,0.33691600419362544,-0.30529633167287784,-1.6005133098745432,13.3745543001491,-391.1109701151399,360,302,226,189,221.32371879085352
png_downsampled_xy227.png,447.73979104609447,213.66356507306517,355.67546348720083,-435.5973458908304,0.3370514206151256,-0.30971650324596567,-1.728308475032975,13.338978311513472,-390.0677300998238,360,302,227,188,220.51903030492437
png_downsampled_xy228.png,447.66681295370506,212.97757164659993,355.2443806795252,-435.58101910852895,0.3338076297432053,-0.2152079399646709,-1.9783928751353415,13.30292199193471,-389.00776218129755,360,302,228,187,219.81824206288962
png_downsampled_xy229.png,448.1630832504685,212.11801817636965,354.77198326871627,-435.62330117303907,0.3170550038271358,0.27565839479223087,-2.7032841786070207,13.269502188678956,-388.01449366381286,360,302,229,186,218.94290772350584
png_downsampled_xy230.png,448.6366245993217,211.1242538333145,354.35912177317067,-436.01497012287723,0.3152795111357136,0.33616832977992317,-3.231296906465275,13.241700683522879,-387.18985054140404,360,302,230,185,217.93538120298837
png_downsampled_xy231.png,449.02230318273223,209.36021197470646,354.1389408353726,-437.0212773800653,0.32236849597839523,0.15090362301259574,-3.245376183090343,13.222000107413237,-386.61338798470234,360,302,231,184,216.16409969153614
png_downsampled_xy232.png,449.25596374155754,208.01050052297862,354.0136165873041,-437.6013012092743,0.32849726887488373,-0.015622548505973555,-3.3575799840153877,13.215678646996395,-386.42605415865745,360,302,232,183,214.81027811467453
png_downsampled_xy233.png,449.55001384048705,206.72725162380715,353.94549119768556,-438.0284270496663,0.3316755876120965,-0.099212344420323,-3.672246258014752,13.221704774175066,-386.5953945617958,360,302,233,182,213.52492016472067
png_downsampled_xy234.png,449.5080086178454,205.56270913372407,353.6848726860777,-438.31753757870865,0.3369749023413249,-0.2478568729677022,-3.81944858079288,13.219533512739872,-386.52866843486197,360,302,234,181,212.35143479966789
png_downsampled_xy235.png,449.72872297650605,204.04105015532832,353.55204628323634,-438.852378260912,0.3386980763976055,-0.2865292769712937,-3.943040315442147,13.218959379150107,-386.5091686788214,360,302,235,180,210.82539947027422
png_downsampled_xy236.png,449.6415716037757,202.87986696737917,353.53431957932196,-438.9170611273513,0.3553928674961071,-0.773359729177173,-3.7917197683201493,13.210170613659614,-386.2554531814106,360,302,236,179,209.66354483211072
png_downsampled_xy237.png,449.6592977709544,201.72962351385928,353.4775621180139,-439.27447493213293,0.35556286266876214,-0.7704974472682125,-3.6291111518611956,13.213895585308364,-386.3679560836881,360,302,237,178,208.5113739414734
png_downsampled_xy238.png,449.7918551416117,200.46978328180282,353.35670052423745,-439.6739093451078,0.35593709841836585,-0.772687272658402,-3.3423036326832403,13.197224605102377,-385.88669060192615,360,302,238,177,207.24750040471528
png_downsampled_xy239.png,449.9452020103681,199.56896642946327,353.31597412247027,-439.62402995641753,0.35692408535641107,-0.8026454863199888,-3.06267904047877,13.186957299715317,-385.59254659958475,360,302,239,176,206.34540591159714
png_downsampled_xy240.png,449.8315924356642,198.39394313934505,353.1941201453516,-440.0862557739663,0.36085461631810745,-0.9074647501784057,-2.982805259963925,13.178253018003204,-385.33973587163393,360,302,240,175,205.1661308937114
png_downsampled_xy241.png,449.802345654516,196.82436365032103,352.8154495312068,-440.17186196845313,0.3610921938522438,-0.9125364647280776,-3.077360811065091,13.164045161982955,-384.922146963611,360,302,241,174,203.58358150753355
png_downsampled_xy242.png,449.8723948149405,195.81713303985163,352.51111871480214,-440.3612593157786,0.3379009277733189,-0.2301441329804561,-3.522192839202205,13.145852699057457,-384.3803486373318,360,302,242,173,202.56599733633894
